,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Clustering,D,W,M,3M,6M,A,YTD,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
LUMN,0.4086345557503875,0.5405522670819043,0.7559575283188504,INCY,-0.08795292088212851,2.0,5.28%,-2.27%,-6.70%,-1.07%,-0.48%,nan%,40.72%,Lumen Technologies,Communication Services,Alternative Carriers,LUMN,REGN,DXCM,NEM,CLX,NLOK,MKTX,CHD,ROL,FDX,0.33081639474074537,0.23771320009137603,0.07,0.11,0.01,0.08,0.21,0.12,0.02,0.22,0.09,0.05,0.40143994880999195,0.25463310897532926,0.14,0.01,0.14,0.01,0.21,0.19,0.01,0.01,0.2,0.07
LYB,-0.026136521487241916,0.6918243664719854,-0.03777912827865146,CLX,0.031018331732202354,3.0,-2.08%,-3.61%,7.71%,31.58%,43.31%,2.64%,-5.24%,LyondellBasell,Materials,Specialty Chemicals,LYB,DXCM,NEM,NLOK,CLX,KR,AKAM,REGN,LLY,NFLX,0.3464031379287351,0.2299102330760276,0.0,0.0,0.11,0.18,0.19,0.17,0.02,0.05,0.19,0.07,0.36236846205053214,0.23854677978943553,0.0,0.06,0.15,0.14,0.15,0.16,0.01,0.03,0.13,0.16
MTB,-0.16669999656639675,0.6191353868291115,-0.2692464364218417,KR,-0.07430551138970001,3.0,-3.21%,-1.11%,9.28%,39.50%,24.85%,-22.16%,7.07%,M&T Bank Corp.,Financials,Regional Banks,MTB,FDX,NDAQ,TSLA,CHTR,MNST,CMI,IDXX,TYL,COST,0.2975710616385371,0.2721626127040524,0.03,0.01,0.04,0.0,0.11,0.07,0.2,0.13,0.16,0.24,0.8769079931803185,0.4107792363515562,0.01,0.04,0.17,0.3,0.11,0.04,0.05,0.19,0.08,0.0
MRO,-0.5379240901515415,0.9936095394970064,-0.5413837818262636,CTXS,-0.13246976925257495,1.0,0.94%,-1.21%,12.67%,63.98%,9.59%,-50.38%,12.67%,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,MRO,A,HOLX,DE,ADSK,NKE,TT,TWTR,LB,PKI,0.34945846212710285,0.33688667049291554,0.0,0.16,0.16,0.1,0.04,0.16,0.17,0.02,0.01,0.17,0.39583731930546656,0.3489087661913949,0.0,0.15,0.12,0.22,0.1,0.01,0.09,0.04,0.02,0.25
MPC,-0.23594045015438667,0.8175510561368682,-0.28859414758665214,CLX,-0.05009281040619463,1.0,-2.70%,4.02%,6.38%,43.00%,13.96%,-27.38%,6.72%,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,MPC,ADBE,ODFL,PGR,AMD,ETSY,TMUS,TSCO,CHD,COST,0.31133994290538203,0.2779152789393282,0.01,0.05,0.05,0.26,0.01,0.02,0.04,0.15,0.15,0.27,0.6558096847340646,0.3713293630628904,0.02,0.03,0.27,0.01,0.04,0.29,0.05,0.14,0.14,0.01
MKTX,0.336054542062689,0.45300159831847325,0.7418396387785654,ZION,-0.13367888640988668,2.0,4.83%,-2.54%,5.82%,18.60%,14.15%,51.28%,-5.22%,MarketAxess,Financials,Financial Exchanges & Data,MKTX,VNT,LUMN,NWSA,SIVB,TT,LB,AMAT,ALB,LLY,0.42657939266167555,0.26304271765348386,0.21,0.26,0.05,0.08,0.04,0.04,0.02,0.03,0.02,0.25,0.48469441993057216,0.2824121491858006,0.0,0.29,0.14,0.02,0.01,0.08,0.04,0.05,0.13,0.23
MAR,-0.19804225479611443,0.6398769198880402,-0.3095005439964393,EA,-0.2423792811058233,3.0,-2.47%,-3.08%,3.98%,42.49%,53.88%,-12.53%,-6.94%,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",MAR,CHD,NVDA,BIO,LLY,EA,ABMD,WST,TSCO,ATVI,0.3255196265318463,0.2562005617776764,0.12,0.19,0.0,0.01,0.04,0.11,0.1,0.06,0.16,0.19,0.5414929631442585,0.3006961865536167,0.01,0.03,0.08,0.04,0.15,0.12,0.25,0.25,0.05,0.02
MMC,-0.007124278525779537,0.3525586674211403,-0.020207356063294296,KR,0.03301847713293064,0.0,-3.29%,-0.29%,2.06%,2.42%,9.86%,6.86%,-6.79%,Marsh & McLennan,Financials,Insurance Brokers,MMC,REGN,KR,LLY,VNT,CLX,NLOK,NEM,LUMN,DXCM,0.33175503555573244,0.1837230101897802,0.06,0.01,0.24,0.06,0.21,0.09,0.21,0.07,0.02,0.02,0.39103731261612173,0.20140223228992568,0.01,0.02,0.22,0.16,0.29,0.03,0.12,0.05,0.01,0.11
MLM,0.042140249273942124,0.5430212079558375,0.07760332130042567,KR,-0.01154343712310476,3.0,-2.76%,1.98%,6.90%,20.91%,38.14%,2.57%,1.75%,Martin Marietta Materials,Materials,Construction Materials,MLM,NEM,AKAM,NLOK,DXCM,CLX,KR,LLY,NFLX,MKTX,0.277737574752574,0.22684946589354837,0.08,0.16,0.21,0.12,0.0,0.1,0.23,0.01,0.04,0.03,0.36688942483080644,0.23887783326034112,0.0,0.19,0.01,0.19,0.03,0.21,0.07,0.18,0.08,0.03
MAS,0.13740738049306617,0.40965960781120275,0.33541842513404996,KR,0.11683558322995342,0.0,-1.66%,2.55%,2.35%,-0.11%,9.97%,15.78%,0.78%,Masco Corp.,Industrials,Building Products,MAS,VNT,REGN,LUMN,LLY,KR,FFIV,NLOK,KEYS,ANET,0.3551145429543615,0.1947202566484547,0.02,0.25,0.03,0.04,0.05,0.2,0.12,0.2,0.07,0.02,0.3880867149958269,0.21020832410277973,0.04,0.35,0.03,0.06,0.16,0.14,0.01,0.12,0.01,0.09
MA,0.08522802227849775,0.473873785155211,0.17985384494435044,KR,0.0059310034817714,0.0,-3.73%,1.77%,6.07%,5.67%,21.01%,20.19%,-8.46%,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,MA,REGN,KR,LLY,CLX,VNT,NEM,NLOK,DXCM,LUMN,0.35198513527517616,0.18500269354561968,0.01,0.01,0.22,0.07,0.09,0.22,0.13,0.17,0.02,0.04,0.3781008421008414,0.19026531504224647,0.01,0.05,0.12,0.07,0.17,0.26,0.05,0.19,0.05,0.03
MKC,0.10374612843753313,0.37157003480090317,0.2792101588415842,FANG,0.09468003739347025,0.0,-2.10%,-1.67%,2.62%,-0.82%,8.05%,14.68%,-2.72%,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,MKC,LUMN,VNT,LLY,KEYS,ANET,FFIV,AMAT,ALB,DVA,0.39853795724646235,0.23735713602500702,0.02,0.11,0.32,0.07,0.11,0.03,0.26,0.01,0.0,0.07,0.447853155131392,0.2549676573593706,0.01,0.14,0.33,0.05,0.13,0.02,0.12,0.02,0.1,0.08
MXIM,0.3657329987352405,0.4267775271994588,0.8569640513529465,VNT,0.13531870937552573,2.0,-5.73%,-1.60%,6.76%,31.12%,47.26%,47.55%,1.49%,Maxim Integrated Products Inc,Information Technology,Semiconductors,MXIM,REGN,KR,NLOK,DXCM,CLX,NEM,AKAM,LUMN,LLY,0.3413034222781819,0.22501993008927582,0.07,0.01,0.21,0.17,0.05,0.27,0.13,0.01,0.04,0.04,0.3858026166365751,0.24442049152628106,0.03,0.01,0.03,0.14,0.12,0.22,0.13,0.05,0.09,0.19
MCD,0.071079630149377,0.38749854902142206,0.18343199046520176,KR,0.08869651679568367,0.0,-3.89%,1.65%,-1.32%,-1.66%,17.70%,11.30%,-3.14%,McDonald's Corp.,Consumer Discretionary,Restaurants,MCD,REGN,KR,LLY,CLX,DXCM,NLOK,NEM,LUMN,FFIV,0.31543429953150626,0.21657977465004882,0.06,0.07,0.22,0.06,0.15,0.03,0.18,0.07,0.07,0.08,0.36736135762929945,0.22922420005825425,0.01,0.0,0.13,0.12,0.2,0.1,0.15,0.08,0.07,0.16
MCK,0.2501764847798056,0.43662496591708067,0.5729779657797134,VNT,0.11125505430758137,0.0,-3.38%,0.32%,-3.33%,17.05%,13.94%,27.06%,4.27%,McKesson Corp.,Health Care,Health Care Distributors,MCK,REGN,KR,DXCM,CLX,NLOK,NEM,AKAM,LLY,CHD,0.3227542196063171,0.22594985970901824,0.01,0.03,0.26,0.07,0.15,0.24,0.11,0.07,0.05,0.0,0.35323469701728893,0.23662279318006094,0.06,0.01,0.15,0.1,0.22,0.25,0.07,0.02,0.12,0.01
MDT,0.03917888020956986,0.40055861264733333,0.0978106049215434,KR,-0.014011688325063864,0.0,-4.50%,-0.20%,3.54%,13.28%,29.11%,5.70%,-2.00%,Medtronic plc,Health Care,Health Care Equipment,MDT,NEM,NLOK,DXCM,AKAM,MKTX,EBAY,CLX,NFLX,LLY,0.31471233888589534,0.23270212904305967,0.17,0.08,0.18,0.0,0.01,0.04,0.19,0.24,0.07,0.0,0.39657457891709463,0.2508962691010311,0.01,0.04,0.19,0.06,0.06,0.01,0.16,0.19,0.1,0.19
MRK,-0.11278665068257114,0.311605234312296,-0.36195364603386115,VNT,0.1880082548787291,3.0,-3.96%,-2.88%,2.56%,-0.61%,7.39%,-7.20%,-4.36%,Merck & Co.,Health Care,Pharmaceuticals,MRK,NEM,MKTX,NFLX,DXCM,LLY,NLOK,MSCI,AMZN,KR,0.25159010340140214,0.23295008241886742,0.22,0.06,0.01,0.05,0.08,0.02,0.21,0.0,0.09,0.27,0.39037599650466626,0.24659199243674843,0.0,0.08,0.01,0.02,0.04,0.19,0.18,0.03,0.24,0.21
MET,0.020893221060758173,0.5861366244183484,0.03564565016132804,CLX,0.04458437353601333,3.0,-3.39%,-0.55%,1.69%,27.87%,31.74%,-3.42%,6.50%,MetLife Inc.,Financials,Life & Health Insurance,MET,AKAM,NFLX,MKTX,AMZN,EBAY,NEM,DG,NLOK,ATVI,0.3568998761093365,0.24389292401438184,0.01,0.02,0.06,0.01,0.13,0.17,0.11,0.22,0.19,0.06,0.4011654439202621,0.2658365168328253,0.0,0.04,0.15,0.01,0.16,0.22,0.14,0.05,0.18,0.05
MTD,0.3629338622922471,0.39861726591307867,0.9104820421185353,VNT,0.13793210976620884,2.0,-4.74%,1.34%,-0.90%,18.01%,41.48%,43.67%,3.44%,Mettler Toledo,Health Care,Life Sciences Tools & Services,MTD,REGN,NLOK,DXCM,KR,CLX,LUMN,LLY,AKAM,NEM,0.34179551307999606,0.2237926504234027,0.11,0.0,0.2,0.01,0.18,0.17,0.04,0.12,0.02,0.14,0.3889701875895014,0.24295763329410858,0.04,0.0,0.19,0.13,0.04,0.22,0.1,0.21,0.02,0.05
MGM,-0.11072340492230108,0.9316255331898847,-0.11884968904102947,CTXS,-0.16378661548578413,1.0,-4.16%,5.34%,11.55%,44.89%,87.60%,-4.56%,-6.47%,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,MGM,MKTX,NFLX,AKAM,EBAY,AMZN,LLY,DG,ATVI,TSCO,0.349103900475498,0.26327671449407064,0.02,0.09,0.06,0.12,0.11,0.08,0.08,0.25,0.06,0.12,0.42585978179672845,0.28020316467070455,0.0,0.11,0.06,0.03,0.12,0.19,0.17,0.05,0.1,0.17
MCHP,0.2554460476119054,0.6018218126012818,0.424454618066732,KR,0.10616312163240856,2.0,-8.24%,1.06%,2.77%,34.80%,31.98%,33.73%,0.08%,Microchip Technology,Information Technology,Semiconductors,MCHP,REGN,KR,NLOK,CLX,DXCM,NEM,AKAM,LLY,LUMN,0.3232772431888945,0.22751149910333326,0.03,0.08,0.26,0.27,0.11,0.0,0.08,0.01,0.12,0.03,0.3855891187679898,0.24504482257422266,0.0,0.05,0.1,0.12,0.21,0.14,0.03,0.0,0.22,0.13
MU,0.3260291451435913,0.5688736644233552,0.5731134442197711,VNT,0.0946291101840074,2.0,-5.56%,1.93%,17.30%,60.09%,45.92%,39.79%,4.79%,Micron Technology,Information Technology,Semiconductors,MU,NLOK,DXCM,CLX,NEM,KR,AKAM,CHD,REGN,EBAY,0.306678111119894,0.22578586599522552,0.01,0.14,0.05,0.18,0.14,0.3,0.08,0.02,0.04,0.02,0.35496440946384356,0.23618346008069677,0.01,0.16,0.09,0.15,0.13,0.17,0.02,0.0,0.07,0.2
MSFT,0.38432474341696055,0.4265629632917757,0.9009801049090999,VNT,-0.029472018621062513,2.0,0.25%,6.25%,3.90%,6.02%,9.84%,42.53%,7.57%,Microsoft Corp.,Information Technology,Systems Software,MSFT,VNT,LUMN,REGN,LLY,KEYS,FFIV,KR,ANET,AMAT,0.3572192119101545,0.2147348340629811,0.01,0.23,0.04,0.1,0.08,0.11,0.16,0.21,0.05,0.01,0.4019366712490436,0.23104059464080579,0.12,0.29,0.13,0.07,0.16,0.03,0.04,0.12,0.01,0.04
MAA,0.0665048250446961,0.45396738916180013,0.14649692165661898,KR,0.1326078547269106,0.0,-2.34%,1.64%,0.42%,10.15%,12.38%,-0.64%,6.26%,Mid-America Apartments,Real Estate,Residential REITs,MAA,AMZN,NFLX,EBAY,ATVI,EA,MKTX,DG,TSCO,WST,0.34805793655112305,0.2622657355872155,0.07,0.07,0.05,0.2,0.0,0.14,0.04,0.25,0.11,0.06,0.4761114566789008,0.29298436397675515,0.01,0.28,0.01,0.02,0.08,0.12,0.0,0.03,0.19,0.26
MHK,0.08122578440806488,0.7226227549640759,0.11240413320793212,CLX,-0.0542793490439256,3.0,-2.96%,0.54%,12.02%,44.43%,38.51%,3.35%,4.29%,Mohawk Industries,Consumer Discretionary,Home Furnishings,MHK,NFLX,EBAY,AMZN,MKTX,CHD,EA,TSCO,AKAM,DG,0.30271801582011065,0.25321742446596124,0.04,0.03,0.15,0.01,0.06,0.15,0.17,0.13,0.06,0.18,0.3942229981349139,0.27116886667413626,0.0,0.08,0.22,0.21,0.03,0.12,0.01,0.17,0.03,0.13
TAP,0.005658068820964406,0.45281290094897947,0.012495379016601665,DPZ,0.04524441635175036,0.0,3.11%,-3.84%,-1.76%,34.65%,31.52%,-15.20%,18.01%,Molson Coors Beverage Company,Consumer Staples,Brewers,TAP,TSLA,PKI,LLY,ADSK,TGT,IPGP,TYL,MTD,HOLX,0.31491551353701186,0.27700453511785067,0.14,0.0,0.19,0.14,0.01,0.19,0.0,0.19,0.08,0.06,0.910755937261005,0.4083724842510739,0.07,0.33,0.07,0.06,0.02,0.19,0.04,0.03,0.12,0.08
MDLZ,0.06506693785908267,0.32795592876584706,0.1984014684654137,VNT,0.17855518040141038,0.0,-2.03%,-1.70%,2.33%,2.33%,15.61%,8.58%,-2.02%,Mondelez International,Consumer Staples,Packaged Foods & Meats,MDLZ,REGN,KR,CLX,DXCM,LLY,NEM,NLOK,VNT,MKTX,0.3544650066104894,0.18942683452286566,0.05,0.01,0.26,0.08,0.1,0.01,0.05,0.08,0.3,0.06,0.37521768776616427,0.20042764612061487,0.01,0.05,0.16,0.15,0.08,0.13,0.02,0.16,0.21,0.03
MNST,0.29351570532421134,0.3488790103885948,0.8413108744985326,VNT,0.18935795958474094,0.0,-3.23%,-3.76%,9.08%,15.31%,33.41%,45.52%,-4.71%,Monster Beverage,Consumer Staples,Soft Drinks,MNST,REGN,LUMN,KR,LLY,DXCM,NLOK,CLX,NEM,AKAM,0.3280520588749972,0.22494680211573062,0.01,0.08,0.11,0.21,0.03,0.03,0.16,0.2,0.1,0.06,0.3895562167901233,0.24670280999760982,0.01,0.02,0.15,0.04,0.15,0.15,0.16,0.19,0.13,0.01
MCO,0.12761670451347681,0.4859156291505637,0.26263140524326306,VNT,0.1108917869770625,0.0,-2.10%,0.02%,2.80%,0.34%,6.07%,23.26%,-6.04%,Moody's Corp,Financials,Financial Exchanges & Data,MCO,VNT,LUMN,KEYS,LLY,KR,ENPH,FFIV,REGN,ALB,0.4087065121131598,0.21835407159375433,0.01,0.24,0.08,0.06,0.02,0.24,0.04,0.25,0.05,0.01,0.6202329737220936,0.2870979135367698,0.01,0.2,0.13,0.01,0.09,0.19,0.17,0.06,0.07,0.06
MS,0.31371244552921546,0.5524266208631785,0.5678807531741193,KR,0.09280768751564537,2.0,-3.92%,-1.48%,10.84%,42.79%,43.93%,38.09%,2.11%,Morgan Stanley,Financials,Investment Banking & Brokerage,MS,REGN,KR,CLX,DXCM,NLOK,NEM,AKAM,MKTX,CHD,0.29078568244430536,0.2297497651084866,0.06,0.01,0.22,0.07,0.03,0.23,0.08,0.03,0.06,0.19,0.33518098289065834,0.2348561049212827,0.09,0.04,0.23,0.26,0.11,0.22,0.02,0.01,0.02,0.0
MOS,0.19897889340004704,0.774142989481929,0.2570311894617911,AKAM,-0.026210137709380757,0.0,-2.52%,-1.08%,5.02%,26.23%,84.85%,7.60%,15.69%,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,MOS,DXCM,KR,NLOK,CLX,NEM,AKAM,MKTX,REGN,NFLX,0.31331792127670954,0.23028649730328665,0.05,0.01,0.21,0.19,0.2,0.1,0.11,0.01,0.07,0.05,0.34686454428884517,0.24013113516537118,0.02,0.03,0.17,0.21,0.23,0.04,0.0,0.02,0.04,0.22
MSI,0.07654625254215777,0.42454095960177685,0.18030357451012224,DPZ,0.16192432784605587,0.0,-0.58%,0.09%,-0.44%,8.91%,22.38%,7.35%,1.45%,Motorola Solutions Inc.,Information Technology,Communications Equipment,MSI,LLY,EA,EBAY,NFLX,MKTX,AMZN,ATVI,TSCO,AKAM,0.3368362084640405,0.27003172766550093,0.18,0.09,0.1,0.19,0.0,0.03,0.1,0.02,0.18,0.09,0.4266268923200509,0.28025004157080413,0.02,0.2,0.06,0.23,0.05,0.0,0.17,0.04,0.18,0.05
MSCI,0.38187595645286265,0.506261591627372,0.7543056055770038,VNT,0.04825512909593452,2.0,-2.79%,-0.82%,9.06%,25.40%,34.32%,74.38%,-12.08%,MSCI Inc,Financials,Financial Exchanges & Data,MSCI,LUMN,REGN,KR,NLOK,DXCM,LLY,CLX,AKAM,NWSA,0.3415197164518373,0.23176453435092675,0.0,0.1,0.1,0.17,0.2,0.06,0.09,0.17,0.02,0.08,0.3757279408032527,0.2444991548597657,0.01,0.11,0.11,0.08,0.14,0.13,0.19,0.21,0.01,0.0
NDAQ,0.271806733895419,0.4069870678987373,0.6678510334462209,VNT,0.08576488908852907,0.0,0.05%,0.27%,4.11%,8.59%,11.95%,25.99%,7.60%,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,NDAQ,REGN,LUMN,VNT,KR,NLOK,LLY,CLX,DXCM,KEYS,0.3593888886590716,0.19348480947965918,0.08,0.04,0.03,0.23,0.19,0.17,0.06,0.16,0.02,0.02,0.39191897792966673,0.19978446424590673,0.03,0.09,0.02,0.32,0.14,0.07,0.09,0.18,0.06,0.02
NTAP,0.1402710213718366,0.5033264556347005,0.27868795649724637,VNT,0.015348679881291592,0.0,4.86%,0.15%,24.25%,52.74%,52.59%,10.94%,5.58%,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",NTAP,AKAM,CHD,EBAY,AMZN,NFLX,NEM,MKTX,DG,TSCO,0.29896433902656905,0.25016793665343984,0.05,0.12,0.17,0.1,0.07,0.04,0.15,0.01,0.26,0.02,0.41338649094284696,0.2759333047259763,0.04,0.02,0.04,0.28,0.25,0.05,0.18,0.03,0.02,0.1
NFLX,0.44815954521716084,0.47894881516901944,0.935714905274391,HFC,-0.044148697444089814,2.0,-6.88%,13.49%,10.20%,8.14%,18.83%,67.11%,0.53%,Netflix Inc.,Communication Services,Movies & Entertainment,NFLX,VNT,LUMN,KEYS,NWSA,SIVB,ANET,FFIV,AMAT,ALB,0.42176702846741854,0.24922307240196032,0.23,0.23,0.19,0.1,0.03,0.01,0.01,0.13,0.0,0.05,0.4661787325998612,0.27478956897295737,0.17,0.27,0.03,0.16,0.04,0.01,0.02,0.13,0.03,0.15
NWL,0.28285420736504335,0.5515230170827301,0.5128602045680614,KR,0.1167774616405184,2.0,-4.91%,2.73%,-0.14%,25.06%,37.09%,16.73%,16.02%,Newell Brands,Consumer Discretionary,Housewares & Specialties,NWL,KR,DXCM,NLOK,CLX,NEM,REGN,AKAM,MKTX,NFLX,0.3242882991848949,0.22844741852881612,0.07,0.18,0.07,0.18,0.18,0.1,0.03,0.06,0.07,0.04,0.35198577886449284,0.23703324203951065,0.06,0.15,0.07,0.23,0.21,0.1,0.04,0.02,0.0,0.13
NEM,0.33766118932604106,0.4493398203207242,0.7514606408241972,HFC,-0.04289656596682655,2.0,-4.21%,-0.18%,2.50%,-4.98%,-1.97%,40.28%,1.40%,Newmont Corporation,Materials,Gold,NEM,LUMN,SIVB,NWSA,AMAT,KEYS,VNT,ALB,ANET,TT,0.3844196934647873,0.2645374515391636,0.25,0.01,0.03,0.04,0.01,0.17,0.24,0.02,0.13,0.1,0.45147034926298457,0.2834233692252202,0.24,0.08,0.03,0.01,0.14,0.03,0.28,0.11,0.04,0.04
NWSA,0.3047033627388756,0.4761347009685134,0.6399520180299262,VNT,0.10391308810663563,2.0,2.30%,-0.70%,1.81%,28.17%,52.51%,29.20%,8.32%,News Corp. Class A,Communication Services,Publishing,NWSA,REGN,KR,NLOK,DXCM,CLX,NEM,AKAM,LLY,MKTX,0.31450777309369493,0.22756327167150653,0.12,0.04,0.19,0.19,0.0,0.21,0.08,0.1,0.04,0.02,0.38422287316500275,0.25340900997561444,0.1,0.02,0.01,0.16,0.12,0.24,0.07,0.02,0.26,0.0
NWS,0.2546766934659514,0.48569904812463766,0.5243508185764398,VNT,0.08079054237742847,0.0,1.44%,-0.44%,-0.22%,27.11%,49.69%,24.46%,6.36%,News Corp. Class B,Communication Services,Publishing,NWS,REGN,KR,NLOK,DXCM,CLX,NEM,AKAM,LLY,MKTX,0.3184360898290597,0.22582014678260134,0.06,0.06,0.26,0.19,0.07,0.13,0.09,0.06,0.06,0.01,0.3833609435858565,0.25145383406333544,0.01,0.01,0.05,0.23,0.14,0.25,0.04,0.05,0.22,0.01
NEE,0.3206084515485313,0.41179542820441584,0.7785624355921232,MRO,0.2010483878339169,2.0,-5.91%,2.65%,4.84%,11.70%,29.75%,32.25%,7.36%,NextEra Energy,Utilities,Multi-Utilities,NEE,REGN,KR,DXCM,VNT,CLX,NLOK,LUMN,LLY,NEM,0.3570566106673149,0.1877081923816756,0.02,0.06,0.25,0.04,0.24,0.11,0.15,0.05,0.05,0.02,0.3931227398279403,0.19779561658011494,0.0,0.01,0.07,0.05,0.23,0.22,0.12,0.05,0.14,0.11
NLSN,0.1480320137880886,0.5631914353250269,0.26284493069866544,DPZ,0.04749430283319612,0.0,0.87%,-1.81%,29.07%,47.71%,41.49%,4.35%,12.60%,Nielsen Holdings,Industrials,Research & Consulting Services,NLSN,TSCO,CHD,NVDA,WST,BIO,WMT,EBAY,ROL,ODFL,0.3276960493796787,0.2593294927910904,0.01,0.14,0.27,0.03,0.06,0.06,0.25,0.11,0.0,0.06,0.494597341199787,0.3043805783048647,0.02,0.22,0.02,0.07,0.26,0.04,0.01,0.06,0.16,0.14
NKE,0.2728347870364385,0.4020489482324747,0.6786108712282432,KR,0.047788426934666034,0.0,-3.02%,-0.97%,5.24%,12.92%,44.89%,40.97%,-4.91%,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",NKE,REGN,KR,DXCM,NLOK,CLX,LUMN,LLY,NEM,AKAM,0.32358588202579186,0.22226706845052618,0.14,0.1,0.18,0.0,0.16,0.15,0.08,0.09,0.07,0.02,0.378939836688597,0.24033606679848343,0.0,0.0,0.04,0.12,0.17,0.19,0.16,0.17,0.08,0.06
NI,-0.15717187763857568,0.4424721762804339,-0.3552130191774181,VNT,0.130382361163586,3.0,-2.07%,-4.36%,-5.21%,5.23%,2.67%,-14.87%,-2.86%,NiSource Inc.,Utilities,Multi-Utilities,NI,LUMN,TROW,NWSA,ANET,AMAT,SIVB,OTIS,TT,CARR,0.30178598692151837,0.31687260809980733,0.14,0.14,0.01,0.09,0.16,0.01,0.0,0.23,0.21,0.01,0.7371277195691988,0.38906968590673086,0.02,0.03,0.01,0.12,0.01,0.1,0.05,0.14,0.15,0.38
NSC,0.20969925470972178,0.46405465511263844,0.45188482089210413,KR,0.1369016483571341,0.0,-1.03%,-3.45%,0.25%,11.51%,36.58%,24.76%,1.03%,Norfolk Southern Corp.,Industrials,Railroads,NSC,REGN,KR,CLX,DXCM,NLOK,NEM,LLY,AKAM,LUMN,0.3227327948140407,0.22663143265372665,0.02,0.06,0.22,0.12,0.05,0.19,0.18,0.03,0.06,0.06,0.3849316527813472,0.2461371750439931,0.0,0.02,0.03,0.26,0.2,0.19,0.04,0.08,0.02,0.15
NTRS,-0.10391774733908073,0.5087465730263697,-0.20426230435501014,CLX,0.03672157554019418,3.0,-3.56%,-1.91%,0.78%,20.36%,19.31%,-9.29%,-1.32%,Northern Trust Corp.,Financials,Asset Management & Custody Banks,NTRS,EBAY,MKTX,AMZN,ATVI,DG,WST,TSCO,NFLX,CHD,0.31765664852898173,0.25785681316823716,0.08,0.18,0.15,0.02,0.1,0.17,0.04,0.13,0.01,0.08,0.4623805418068721,0.27822169224839294,0.02,0.19,0.0,0.23,0.04,0.02,0.22,0.18,0.01,0.09
NOC,-0.14165226954841062,0.38401824283320096,-0.3688685946358479,TSLA,0.10465221674514243,3.0,-0.30%,-0.86%,0.81%,-2.96%,-0.01%,-9.92%,-3.85%,Northrop Grumman,Industrials,Aerospace & Defense,NOC,LUMN,NWSA,TROW,OTIS,AKAM,CHD,NDAQ,GOOGL,LOW,0.25996651851820846,0.2585787830897553,0.1,0.03,0.07,0.02,0.26,0.17,0.25,0.01,0.09,0.0,0.32913706002634324,0.2810071253438936,0.01,0.22,0.0,0.03,0.2,0.23,0.12,0.02,0.02,0.15
NLOK,0.3453297391467961,0.3610677360019774,0.956412619334409,VNT,0.057253999939795054,2.0,-0.67%,1.08%,13.99%,0.38%,6.08%,44.36%,0.87%,NortonLifeLock,Information Technology,Application Software,NLOK,VNT,SIVB,KEYS,NWSA,AMAT,FFIV,LUMN,ANET,ALGN,0.37892198705011115,0.25268481133295245,0.19,0.22,0.03,0.09,0.11,0.01,0.18,0.09,0.08,0.0,0.4112578810616638,0.2619235203000174,0.22,0.27,0.06,0.04,0.02,0.04,0.03,0.15,0.12,0.04
NCLH,-0.8088117310810139,1.2845526688557862,-0.6296446620608106,GIS,-0.15792130738271876,1.0,-0.55%,-3.11%,11.19%,48.63%,54.78%,-56.46%,-4.21%,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",NCLH,NEE,PWR,DVA,HOLX,A,DE,BLK,INTU,KLAC,0.3765101702714164,0.33595950764533267,0.01,0.21,0.14,0.21,0.18,0.14,0.05,0.01,0.0,0.03,0.41554235764787895,0.34870027090219763,0.0,0.15,0.23,0.18,0.03,0.14,0.14,0.02,0.08,0.02
NOV,-0.6350225096006846,0.856161990214039,-0.7417083646074151,CLX,-0.027693195287558744,1.0,-3.17%,-9.08%,11.99%,51.55%,12.08%,-44.93%,-9.54%,NOV Inc.,Energy,Oil & Gas Equipment & Services,NOV,GOOGL,GOOG,ALB,KEYS,ALXN,FCX,LRCX,ZBRA,ANET,0.31934787976205187,0.3504747328827162,0.03,0.03,0.23,0.02,0.13,0.26,0.01,0.02,0.13,0.13,0.5095066314926611,0.4171663904334353,0.0,0.01,0.02,0.22,0.14,0.21,0.21,0.0,0.16,0.02
